Customer Reference,Club Name,Date Created,Order Quantity,Shipped Quantity,Unshipped Quantity,Shipping Date,Sales Order Header Status
1409620,Rush Kansas,2025-06-14,24.0,24.0,0.0,2025-06-28,SHIPPED
1409624,Rush Mobile,2025-06-13,10.0,10.0,0.0,2025-07-14,SHIPPED
1409626,Rush Bulls,2025-06-14,7.0,7.0,0.0,2025-06-28,SHIPPED
1409627,Rush Virginia,2025-06-14,15.0,15.0,0.0,2025-07-01,SHIPPED
1409629,Rush Northern Colorado,2025-06-13,7.0,7.0,0.0,2025-07-09,SHIPPED
1409634,Rush Colorado,2025-06-14,6.0,6.0,0.0,2025-06-30,SHIPPED
1409635,Rush Pensacola Fc,2025-06-14,13.0,13.0,0.0,2025-07-01,SHIPPED
1409638,Rush Baldwin,2025-06-14,8.0,8.0,0.0,2025-07-27,SHIPPED
1409639,Rush Mobile,2025-06-14,10.0,10.0,0.0,2025-06-30,SHIPPED
1409641,Rush Mississippi,2025-06-14,7.0,7.0,0.0,2025-06-29,SHIPPED
1409643,Rush Gateway,2025-06-14,9.0,9.0,0.0,2025-06-28,SHIPPED
1409644,Rush Mobile,2025-06-14,9.0,9.0,0.0,2025-06-30,SHIPPED
1409647,Pensacola Fc,2025-06-14,4.0,4.0,0.0,2025-06-26,SHIPPED
1409649,Rush Virginia,2025-06-14,16.0,16.0,0.0,2025-06-29,SHIPPED
1409651,Rush Mississippi,2025-06-14,12.0,11.0,1.0,2025-07-31,OPEN
1409654,Rush Nevada,2025-06-14,13.0,13.0,0.0,2025-06-30,SHIPPED
1409658,Rush Northern Colorado,2025-06-13,10.0,10.0,0.0,2025-07-14,SHIPPED
1409659,Rush Pensacola Fc,2025-06-14,18.0,18.0,0.0,2025-07-01,SHIPPED
1409661,Rush Pensacola Fc,2025-06-13,42.0,42.0,0.0,2025-07-18,SHIPPED
1409663,Rush Tennessee Lobos,2025-06-14,9.0,9.0,0.0,2025-06-28,SHIPPED
1409664,Rush Emerald Coast United,2025-06-14,9.0,9.0,0.0,2025-07-07,SHIPPED
1409668,Rush Colorado East,2025-06-14,12.0,12.0,0.0,2025-06-29,SHIPPED
1409671,Rush West Texas,2025-06-14,6.0,6.0,0.0,2025-07-21,SHIPPED
1409675,Rush Pensacola Fc,2025-06-14,18.0,18.0,0.0,2025-07-01,SHIPPED
1409676,Rush Mobile,2025-06-13,7.0,7.0,0.0,2025-07-14,SHIPPED
1409680,Rush Mobile,2025-06-14,11.0,11.0,0.0,2025-06-30,SHIPPED
1409681,Rush Gateway,2025-06-14,9.0,9.0,0.0,2025-06-28,SHIPPED
1409682,Rush Blount United,2025-06-14,8.0,8.0,0.0,2025-06-29,SHIPPED
1409683,Rush Mississippi,2025-06-14,6.0,6.0,0.0,2025-06-29,SHIPPED
1409687,Rush Mountain,2025-06-14,12.0,12.0,0.0,2025-07-10,SHIPPED
1409690,Rush Bulls,2025-06-14,7.0,7.0,0.0,2025-06-28,SHIPPED
1409700,Rush Colorado,2025-06-14,9.0,9.0,0.0,2025-06-30,SHIPPED
1409707,Rush Ac Delray,2025-06-14,6.0,6.0,0.0,2025-07-09,SHIPPED
1409710,Rush Gateway,2025-06-14,9.0,9.0,0.0,2025-06-28,SHIPPED
1409712,Rush Colorado,2025-06-14,12.0,12.0,0.0,2025-06-30,SHIPPED
1409713,Rush Mobile,2025-06-14,9.0,9.0,0.0,2025-06-30,SHIPPED
1409718,Rush Northern Colorado,2025-06-13,7.0,7.0,0.0,2025-07-14,SHIPPED
1409722,Rush Fremont,2025-06-14,20.0,20.0,0.0,2025-08-07,SHIPPED
1409723,Rush Coastal Perdido,2025-06-14,10.0,10.0,0.0,2025-07-31,SHIPPED
1409725,Rush Virginia,2025-06-14,20.0,0.0,20.0,,OPEN
1409729,Rush Mobile,2025-06-14,13.0,13.0,0.0,2025-07-12,SHIPPED
1409740,Rush Colorado North,2025-06-14,12.0,12.0,0.0,2025-06-30,SHIPPED
1409747,Rush Bulls,2025-06-14,14.0,14.0,0.0,2025-06-28,SHIPPED
1409750,Rush North Carolina,2025-06-14,9.0,9.0,0.0,2025-07-27,SHIPPED
1409754,Rush Calico Hawks,2025-06-14,4.0,4.0,0.0,2025-07-08,SHIPPED
1409756,Rush Colorado,2025-06-14,12.0,12.0,0.0,2025-06-30,SHIPPED
1409757,Rush Colorado East,2025-06-14,12.0,12.0,0.0,2025-06-29,SHIPPED
1409758,Rush Hillsboro,2025-06-14,11.0,11.0,0.0,2025-06-29,SHIPPED
1409765,Rush Colorado North,2025-06-14,15.0,15.0,0.0,2025-06-30,SHIPPED
1409767,Pensacola Fc,2025-06-14,6.0,6.0,0.0,2025-07-09,SHIPPED
1409768,Rush Northern Colorado,2025-06-14,11.0,11.0,0.0,2025-07-19,SHIPPED
1409769,Rush Baldwin,2025-06-14,9.0,9.0,0.0,2025-07-09,SHIPPED
1409772,Rush Alabama,2025-06-14,7.0,7.0,0.0,2025-06-30,SHIPPED
1409778,Rush Hillsboro,2025-06-14,11.0,11.0,0.0,2025-07-03,SHIPPED
1409780,Rush Northern Colorado,2025-06-14,4.0,4.0,0.0,2025-07-18,SHIPPED
1409785,Rush Chicago North Shore,2025-06-14,13.0,13.0,0.0,2025-07-03,SHIPPED
1409786,Rush Mobile,2025-06-14,9.0,9.0,0.0,2025-06-30,SHIPPED
1409787,Rush Hawaii,2025-06-14,13.0,13.0,0.0,2025-06-29,SHIPPED
1409797,Rush Mobile,2025-06-14,9.0,9.0,0.0,2025-06-30,SHIPPED
